#{"t_start": 1777765046.081346, "env_id": "letter-env"}
r,l,t
-4.0,12,2.716644
-4.0,15,2.796316
-16.0,28,2.915056
-20.0,7,2.955491
0.0,45,3.283815
-16.0,20,3.374275
-18.0,27,3.632368
-18.0,31,3.779625
-20.0,10,3.844526
-18.0,81,4.180765
-20.0,10,4.222081
-20.0,73,4.624473
-20.0,41,4.878226
-20.0,9,4.923912
-20.0,39,5.091233
-20.0,19,5.313972
28.0,82,5.739717
-20.0,77,6.328326
-20.0,7,6.367988
-20.0,43,6.587453
4.0,41,6.777151
-20.0,11,6.844832
-20.0,18,6.967934
-20.0,55,7.20834
-20.0,3,7.229611
0.0,18,7.390416
-20.0,9,7.433303
-20.0,5,7.459354
-20.0,21,7.571188
-20.0,3,7.591749
-20.0,58,7.828171
-20.0,13,7.8849
-20.0,31,8.024938
-20.0,3,8.043631
-20.0,10,8.08555
-20.0,5,8.109037
-20.0,31,8.275862
-20.0,35,8.419868
-20.0,15,8.523663
-20.0,30,8.843425
-20.0,3,8.861801
-20.0,3,8.888625
-20.0,21,8.97629
-20.0,19,9.053199
-20.0,15,9.242691
-20.0,26,9.359936
-20.0,11,9.417619
-20.0,9,9.469884
-20.0,13,9.547554
0.0,32,9.831639
-20.0,15,9.923463
-20.0,56,10.300962
-20.0,77,10.703681
-20.0,18,10.791377
0.0,19,10.926219
-20.0,10,10.979459
-20.0,62,11.437068
0.0,43,11.755769
0.0,45,12.028637
-20.0,33,12.186223
-20.0,44,12.361068
-20.0,23,12.452653
-20.0,45,12.63551
-20.0,29,12.756602
-20.0,10,12.807293
-20.0,17,12.96988
0.0,30,13.084653
-20.0,15,13.148821
-20.0,35,13.312016
-20.0,19,13.39739
-20.0,26,13.506923
-20.0,18,13.596568
-20.0,17,13.741405
-20.0,27,13.871096
-20.0,73,14.804508
-20.0,7,14.867566
-20.0,14,15.006998
0.0,36,15.290886
-20.0,88,16.239462
-20.0,12,16.33699
-20.0,31,16.600102
-20.0,5,16.681112
-20.0,7,16.852284
-20.0,38,17.161708
-20.0,13,17.269801
-20.0,22,17.450833
-20.0,21,17.59873
-20.0,14,17.704798
-20.0,13,17.806088
-20.0,14,17.937277
-20.0,10,18.008573
-20.0,35,18.404759
-20.0,30,18.612487
-20.0,10,18.68757
-20.0,12,18.779278
-20.0,23,51.026092
-20.0,18,51.199063
-20.0,32,51.439497
-20.0,44,52.501887
-20.0,11,52.598569
-20.0,8,52.667681
0.0,54,53.048731
-20.0,6,53.49224
-20.0,19,53.693272
-20.0,27,53.930157
-20.0,3,53.968826
-20.0,130,59.188403
-20.0,21,61.065799
-20.0,5,61.37076
-20.0,72,63.772071
-20.0,19,63.944205
0.0,27,64.608699
0.0,78,65.541037
-20.0,42,65.822034
-20.0,8,65.891913
-20.0,3,65.926753
-20.0,10,66.030472
-20.0,25,66.691649
-20.0,32,66.924168
-20.0,9,67.000627
-20.0,101,68.001619
-20.0,45,68.498026
-20.0,135,70.385526
-20.0,14,70.540078
-20.0,22,70.804365
-20.0,55,71.197571
-20.0,7,71.256639
-20.0,12,71.335311
-20.0,18,71.493658
-20.0,38,72.017925
-20.0,31,72.33785
-20.0,14,72.428373
-20.0,12,72.535032
-20.0,62,73.123969
-20.0,32,73.35756
20.0,52,73.932909
-20.0,26,74.280488
-20.0,83,75.762767
-20.0,8,75.841155
-20.0,24,76.020359
0.0,27,76.391621
-20.0,7,76.434188
-20.0,48,76.820851
-20.0,18,76.95488
-20.0,87,78.041077
-20.0,12,78.160071
-20.0,45,78.626673
0.0,80,79.432909
-20.0,21,79.710172
-20.0,13,79.806199
-20.0,8,79.877642
-20.0,73,80.797167
-20.0,49,81.423638
-20.0,5,81.454762
-20.0,25,81.772148
-20.0,93,82.739305
-20.0,170,84.551512
-20.0,18,84.708119
-20.0,7,84.747336
-20.0,5,84.800032
-20.0,48,85.369894
-20.0,23,85.551305
-20.0,31,85.86053
-20.0,18,86.266854
-20.0,108,119.293929
-20.0,16,119.549953
-20.0,37,119.836869
0.0,67,120.495008
-20.0,17,120.624049
-20.0,99,121.75029
-20.0,31,122.189762
0.0,69,123.356076
-20.0,6,123.435857
-20.0,77,124.130549
-20.0,12,124.22361
-20.0,80,125.435691
0.0,26,125.937169
