#{"t_start": 1777995540.1209002, "env_id": "letter-env"}
r,l,t
-30.0,21,2.883109
-20.0,20,2.973402
-20.0,8,3.019811
-20.0,9,3.046975
30.0,48,3.298821
-20.0,49,3.493097
-20.0,11,3.531351
-20.0,57,3.750132
-20.0,49,3.929579
-20.0,12,3.97594
-20.0,56,4.19001
-20.0,13,4.23333
-20.0,21,4.318626
-20.0,6,4.343272
-20.0,22,4.426099
-20.0,17,4.485107
-20.0,9,4.52136
-20.0,41,4.67759
-20.0,38,4.812392
30.0,34,4.938056
-20.0,41,5.114033
-20.0,9,5.149217
-20.0,21,5.207205
-20.0,20,5.294372
-20.0,40,5.451611
-20.0,14,5.516434
-20.0,7,5.538135
-20.0,6,5.556751
-20.0,25,5.777799
30.0,46,6.0361
-20.0,62,6.315624
-20.0,23,6.395456
30.0,63,6.701905
30.0,49,6.904513
30.0,30,7.04913
-20.0,53,7.26442
-20.0,9,7.307946
-20.0,8,7.334081
30.0,77,7.622895
30.0,53,7.817395
-20.0,11,7.870178
-20.0,5,7.890156
-20.0,40,8.036431
-20.0,47,8.179575
-20.0,21,8.270664
-20.0,11,8.307116
-20.0,9,8.336724
-20.0,30,8.450794
-20.0,20,8.655603
-20.0,42,8.838976
30.0,59,9.050871
-20.0,22,9.134775
-20.0,30,9.253406
-20.0,20,9.323008
-20.0,17,9.393307
-20.0,16,9.448513
-20.0,23,9.538999
-20.0,43,9.702492
30.0,67,9.954949
-20.0,9,10.026831
-20.0,33,10.130955
-20.0,29,10.214896
-20.0,15,10.276395
-20.0,13,10.318036
30.0,20,10.409214
-20.0,21,10.477595
-20.0,39,10.649592
-20.0,40,10.798411
-20.0,55,11.001619
-20.0,5,11.025198
0.0,23,11.089742
70.0,59,11.469019
-20.0,3,11.483427
-20.0,20,11.584641
-20.0,28,11.692488
-20.0,33,11.80198
-20.0,29,11.943805
-20.0,38,12.060143
-20.0,15,12.103528
-20.0,52,12.313083
-20.0,124,12.763359
-20.0,11,12.799121
30.0,50,12.984929
-20.0,32,13.092386
-20.0,28,13.229846
-20.0,68,13.466946
-20.0,21,13.541001
-20.0,46,13.713972
-20.0,47,13.903217
-20.0,115,14.366829
-20.0,74,14.702346
-20.0,15,14.764155
-20.0,10,14.807484
-20.0,24,14.904836
-20.0,31,15.004048
30.0,45,15.162717
-20.0,17,15.235439
0.0,109,15.738818
-20.0,19,15.818992
30.0,16,15.93843
-20.0,9,15.976193
-20.0,11,16.034026
-20.0,21,16.117133
70.0,46,16.286003
-20.0,7,16.31576
-20.0,52,16.492419
-20.0,23,16.579678
-20.0,108,16.953183
