#{"t_start": 1778020685.626938, "env_id": "letter-env"}
r,l,t
-30.0,21,4.084068
-50.0,20,4.18383
-50.0,8,4.241015
-50.0,9,4.323344
-40.0,48,4.753516
-50.0,49,5.350941
-50.0,11,5.397597
-50.0,57,5.848886
-50.0,49,6.118905
-50.0,12,6.204094
-50.0,56,6.501871
-50.0,13,6.700978
-50.0,21,6.855308
-50.0,6,6.885487
-50.0,22,7.011738
-50.0,17,7.221746
-50.0,9,7.264297
-50.0,41,7.503206
-50.0,38,7.736066
-40.0,34,7.890984
-50.0,41,8.147149
-50.0,9,8.217021
-50.0,21,8.320539
-50.0,20,8.389327
-50.0,40,8.60778
-50.0,14,8.65744
-50.0,7,8.727826
-50.0,6,8.748696
-50.0,25,8.882855
-40.0,46,9.09209
-50.0,62,9.381104
-50.0,23,9.504142
-40.0,63,10.016122
-40.0,49,10.495635
-40.0,30,10.64351
-50.0,53,10.994058
-50.0,9,11.026848
-50.0,8,11.103621
-40.0,77,11.689185
-40.0,53,12.003639
-50.0,11,12.165164
-50.0,5,12.183547
-50.0,40,12.406712
-50.0,47,12.647028
-50.0,21,12.774329
-50.0,11,12.889529
-50.0,9,12.967636
-50.0,30,13.125934
-50.0,20,13.245072
-50.0,42,13.51821
-40.0,59,13.996169
-50.0,22,14.141365
-50.0,30,14.251067
-50.0,20,14.4067
-50.0,17,14.633874
-50.0,16,14.884823
-50.0,23,14.990759
-50.0,43,15.362703
-40.0,67,15.76692
-50.0,9,15.842549
-50.0,33,16.01759
-50.0,29,16.215062
-50.0,15,16.2809
-50.0,13,16.39427
-40.0,20,16.613081
-50.0,21,16.735119
-50.0,39,16.896517
-50.0,40,17.102281
-50.0,55,17.366118
-50.0,5,17.385025
-50.0,23,17.524586
-20.0,59,18.016748
-50.0,3,18.039873
-50.0,20,18.26564
-50.0,28,18.473479
-50.0,33,18.657796
-50.0,29,18.853942
-50.0,38,19.011859
-50.0,15,19.100495
-50.0,52,19.383422
-50.0,124,20.220793
-50.0,11,20.259215
-40.0,50,20.725853
-50.0,32,20.970928
-50.0,28,21.156215
-50.0,68,21.519957
-50.0,21,21.616359
-50.0,46,21.842687
-50.0,47,22.03039
-50.0,115,22.624001
-50.0,74,23.0141
-50.0,15,23.20873
-50.0,10,23.245846
-50.0,24,23.356932
-50.0,31,23.604255
-40.0,45,23.97767
-50.0,17,24.168164
-50.0,109,24.770117
-50.0,19,24.893584
-40.0,16,24.965195
-50.0,9,25.006454
-50.0,11,25.046693
-50.0,21,25.15126
-20.0,46,25.369453
-50.0,7,25.404298
-50.0,52,25.664903
-50.0,23,25.790801
-50.0,108,26.385521
-50.0,24,26.513047
-50.0,13,26.556767
-50.0,18,26.769262
-50.0,22,26.863885
-50.0,5,26.886739
-50.0,34,27.09262
-50.0,27,27.181088
-50.0,13,27.274953
-50.0,32,27.488765
-50.0,37,27.654446
-50.0,16,27.757974
-50.0,9,27.784969
-50.0,13,27.886972
-50.0,58,28.14693
-50.0,48,28.382432
-50.0,26,28.503051
-50.0,10,28.545141
-50.0,7,28.638154
-50.0,28,28.774867
-50.0,26,28.910509
-50.0,13,29.110782
-50.0,3,29.122153
-50.0,27,29.332985
-40.0,39,29.511241
-50.0,36,29.673999
-50.0,29,29.853706
-50.0,16,29.904952
-50.0,7,29.929499
-50.0,66,30.290565
-50.0,37,30.503826
-50.0,20,30.625126
-50.0,23,30.76791
-50.0,9,30.863568
-50.0,40,31.053204
-50.0,8,31.142807
-50.0,9,31.171741
-50.0,69,31.519811
-50.0,22,31.746337
-50.0,34,31.995186
-50.0,7,32.022754
-50.0,100,32.543079
-40.0,36,32.738099
-50.0,24,32.861084
-50.0,5,32.8875
-50.0,12,32.934649
-50.0,51,33.21723
-50.0,14,33.272782
-50.0,33,33.478369
-50.0,49,33.763102
-50.0,11,34.085085
-50.0,18,34.173606
-40.0,52,35.02893
-50.0,7,35.058441
-50.0,3,35.164792
-50.0,24,35.309578
-50.0,47,35.561508
-50.0,15,35.646383
-50.0,35,35.759279
-50.0,49,39.629142
-50.0,27,41.410296
-50.0,9,42.269829
-40.0,43,45.204755
-50.0,11,46.001715
-50.0,14,47.180945
-40.0,63,51.507785
-50.0,13,52.629383
-50.0,5,52.918857
-50.0,5,53.187789
-50.0,15,54.443722
-50.0,21,55.813115
-50.0,23,57.387134
-50.0,19,58.771576
-50.0,29,60.779468
-50.0,27,62.876472
-50.0,16,64.061728
-20.0,49,67.382304
-50.0,24,69.101198
-50.0,30,71.13088
-50.0,49,75.055355
-50.0,42,77.946978
-50.0,23,79.712741
-50.0,3,79.976403
-50.0,64,84.499999
-50.0,17,85.652671
-50.0,7,86.34711
-40.0,64,91.033891
-50.0,29,92.904568
-50.0,65,97.435506
-50.0,25,99.123641
-50.0,30,101.554035
-50.0,25,103.156175
-50.0,3,103.433179
-50.0,38,106.041123
-50.0,83,112.188115
-50.0,9,112.73354
-50.0,34,115.289949
-50.0,35,117.976149
-50.0,37,120.492369
-40.0,19,122.032279
-50.0,100,129.142191
-50.0,22,130.636317
-50.0,84,136.565688
-50.0,29,138.517065
-50.0,32,140.8947
-50.0,69,146.142467
-50.0,52,149.863326
-50.0,3,149.880028
-50.0,58,154.1019
-50.0,26,155.880638
-50.0,10,156.694497
-50.0,5,156.959742
-40.0,30,159.251966
-50.0,25,161.0829
-40.0,30,163.13299
-50.0,20,164.508072
-50.0,34,166.982603
-50.0,47,170.442453
-50.0,64,175.163541
-50.0,12,176.116836
-50.0,70,180.911978
-50.0,57,185.02999
-50.0,13,186.330391
-50.0,60,191.139803
-40.0,36,193.625367
-50.0,39,196.315342
-50.0,21,198.07793
-50.0,48,201.403265
-50.0,26,203.194842
-50.0,23,204.900231
-50.0,32,207.14286
-50.0,12,207.971695
-50.0,9,208.553744
-40.0,32,210.772741
-50.0,17,211.880432
-50.0,79,217.662499
-50.0,9,218.236272
-50.0,24,220.080621
-50.0,41,223.505508
-50.0,15,224.435686
-50.0,32,226.888874
-50.0,62,231.448154
-50.0,21,232.818519
-50.0,30,235.169234
-50.0,20,236.56375
-50.0,3,236.58151
-50.0,44,239.628117
-50.0,63,244.368763
-50.0,81,250.104716
-50.0,5,250.735553
-50.0,5,251.050367
-50.0,3,251.35453
-40.0,17,252.42393
-50.0,52,256.119026
-50.0,3,256.392198
-50.0,11,256.960521
-50.0,9,257.777409
-50.0,51,261.550612
-50.0,14,262.781179
-50.0,27,264.711768
-50.0,34,267.021145
-50.0,13,267.911114
-40.0,41,271.134421
-50.0,27,273.048043
-50.0,7,273.600464
-50.0,9,274.249595
-50.0,16,275.328455
-20.0,57,279.661121
-50.0,49,283.14072
-50.0,16,284.32686
-50.0,21,285.839838
-50.0,5,286.131372
-20.0,77,291.932833
-50.0,133,301.369413
-20.0,94,307.994713
-50.0,18,309.402669
-50.0,7,309.967974
-50.0,50,313.538924
-50.0,17,314.677236
-50.0,7,315.216746
-50.0,86,321.777014
-40.0,40,324.781103
-50.0,98,331.604639
-50.0,34,334.191036
-50.0,14,335.019136
-50.0,18,336.427513
-50.0,50,339.907617
-50.0,13,340.763797
-50.0,89,347.346535
-50.0,31,349.360052
-50.0,23,351.068042
-40.0,63,355.695677
-50.0,15,356.807386
-50.0,8,357.377169
-50.0,50,360.919353
-50.0,31,363.273057
-50.0,34,365.588067
-40.0,21,367.325645
-50.0,12,368.126401
-50.0,27,369.952751
-50.0,41,373.19966
-50.0,66,377.7839
-50.0,35,380.227507
-50.0,21,381.625893
-50.0,7,382.173107
-50.0,28,384.289887
-50.0,38,386.944323
-50.0,12,387.729896
-50.0,28,389.762498
-50.0,19,391.353581
-50.0,9,391.927021
-50.0,46,395.431933
-40.0,15,396.505076
-50.0,14,397.433341
-50.0,49,400.803554
-50.0,19,402.311058
-50.0,40,405.060646
-50.0,24,406.78517
-50.0,24,408.442745
-50.0,12,409.318229
-50.0,28,411.38023
-50.0,35,413.976594
-50.0,21,415.413147
-50.0,18,416.947388
-40.0,36,419.530599
-50.0,3,419.551823
-50.0,54,423.588259
-40.0,43,426.716904
-50.0,42,429.577802
-50.0,16,430.82666
