#{"t_start": 1777998632.716299, "env_id": "letter-env"}
r,l,t
-50.0,21,3.735479
-50.0,20,3.84227
-50.0,8,3.86894
-50.0,9,3.89895
-30.0,48,4.246684
-50.0,49,4.495813
-50.0,11,4.53407
-50.0,57,4.95975
-50.0,49,5.165401
-50.0,12,5.23366
-50.0,56,5.473155
-50.0,13,5.665599
-50.0,21,5.765781
-50.0,6,5.787154
-50.0,22,5.897283
-50.0,17,6.014339
-50.0,9,6.093866
-50.0,41,6.263753
-50.0,38,6.513242
-30.0,34,6.643836
-50.0,41,6.864856
-50.0,9,6.89314
-50.0,21,7.006361
-50.0,20,7.115274
-50.0,40,7.278694
-50.0,14,7.368822
-50.0,7,7.394327
-50.0,6,7.418227
-50.0,25,7.54447
-30.0,46,7.765055
-50.0,62,8.027401
-50.0,23,8.148873
-30.0,63,8.415375
-30.0,49,8.647989
-30.0,30,8.775039
-50.0,53,9.016909
-50.0,9,9.050686
-50.0,8,9.124822
-30.0,77,9.420276
-30.0,53,9.650319
-50.0,11,9.730154
-50.0,5,9.748199
-50.0,40,9.915821
-50.0,47,10.225643
-50.0,21,10.297265
-50.0,11,10.392496
-50.0,9,10.419365
-50.0,30,10.613916
-50.0,20,10.748527
-50.0,42,10.903205
-30.0,59,11.151352
-50.0,22,11.257991
-50.0,30,11.404974
-50.0,20,11.518413
-50.0,17,11.60347
-50.0,16,11.653667
-50.0,23,11.767913
-50.0,43,11.984026
-30.0,67,12.265019
-50.0,9,12.290911
-50.0,33,12.47024
-50.0,29,12.554409
-50.0,15,12.746026
-50.0,13,12.781082
-30.0,20,12.904003
-50.0,21,13.022301
-50.0,39,13.216911
-50.0,40,13.374459
-50.0,55,13.677638
-50.0,5,13.735439
-40.0,23,13.867925
-10.0,59,14.137977
-50.0,3,14.150345
-50.0,20,14.25094
-50.0,28,14.373171
-50.0,33,14.505642
-50.0,29,14.651486
-50.0,38,14.861367
-50.0,15,14.908776
-50.0,52,15.137491
-50.0,124,15.812558
-50.0,11,15.898913
-30.0,50,16.132129
-50.0,32,16.260047
-50.0,28,16.405571
-50.0,68,16.678094
-50.0,21,16.772747
-50.0,46,16.991616
-50.0,47,17.237101
-50.0,115,17.691468
-50.0,74,18.132548
-50.0,15,18.176368
-50.0,10,18.288613
-50.0,24,18.382631
-50.0,31,18.53309
-30.0,45,18.7543
-50.0,17,18.817331
-40.0,109,19.302367
-50.0,19,19.406057
-30.0,16,19.481669
-50.0,9,19.524428
-50.0,11,19.559036
-50.0,21,19.660474
-10.0,46,19.880267
-50.0,7,19.910073
-50.0,52,20.152982
-50.0,23,20.256341
-50.0,108,20.79942
-50.0,24,21.004279
-50.0,13,21.050545
-50.0,18,21.131781
-50.0,22,21.251434
-50.0,5,21.270054
-50.0,34,21.434649
-50.0,27,21.548924
-50.0,13,21.628278
-50.0,32,21.778691
-50.0,37,21.932991
-50.0,16,21.998129
-50.0,9,22.027741
-50.0,13,22.126036
-50.0,58,22.429106
-50.0,48,22.761623
-50.0,26,22.890224
-50.0,10,22.939189
-50.0,7,22.996172
-50.0,28,23.124187
-50.0,26,23.308215
-50.0,13,23.415902
-50.0,3,23.427064
-50.0,27,23.527308
-30.0,39,23.753685
-50.0,36,23.909953
-50.0,29,24.051121
-50.0,16,24.139421
-50.0,7,24.171403
-50.0,66,24.528152
-50.0,37,24.678026
-50.0,20,24.786544
-50.0,23,24.896022
-50.0,9,24.932237
-50.0,40,25.163755
-50.0,8,25.189269
-50.0,9,25.257114
-50.0,69,25.578043
-50.0,22,25.674993
-40.0,34,25.909319
-50.0,7,25.936595
-50.0,100,26.443667
-30.0,36,26.630051
-50.0,24,26.737827
-50.0,5,26.753716
-50.0,12,26.813745
-50.0,51,27.041377
-50.0,14,27.134801
-50.0,33,27.266179
-50.0,49,27.506643
-50.0,11,27.548748
-50.0,18,27.666039
-30.0,52,27.890947
-50.0,7,27.929322
-50.0,3,27.940364
-50.0,24,28.054676
-50.0,47,28.399546
-50.0,15,28.445123
-50.0,35,66.479772
-50.0,104,74.429519
-50.0,29,76.785034
-50.0,33,79.158909
-50.0,14,80.176044
-50.0,8,80.720334
-50.0,48,84.281392
-30.0,41,87.599835
-50.0,25,89.460442
-50.0,17,90.622813
-50.0,152,102.303638
-50.0,7,102.882635
-50.0,23,104.67765
-50.0,112,113.429647
-50.0,16,114.722043
-50.0,45,118.197058
-50.0,35,121.029894
-50.0,52,124.921222
-30.0,76,130.561251
-50.0,9,131.122151
-50.0,15,132.30706
0.0,200,147.981787
-50.0,66,152.964816
-50.0,26,155.066255
-50.0,65,160.307509
-50.0,62,165.009796
-50.0,66,170.354503
-50.0,24,172.354077
-50.0,30,174.542662
-30.0,169,187.753291
-50.0,25,189.644793
-40.0,39,192.639006
-50.0,18,193.836932
-50.0,41,196.800106
-50.0,41,200.261059
-50.0,45,203.676798
-50.0,199,219.825341
-50.0,24,221.672856
-10.0,28,223.722917
-50.0,47,227.236075
-30.0,100,235.114932
-50.0,5,235.70625
-50.0,41,238.847749
-50.0,28,241.159603
-30.0,47,244.804633
-50.0,24,246.698283
-50.0,41,249.708593
-30.0,24,251.810423
-50.0,58,256.044344
-30.0,21,257.918159
-30.0,36,260.513287
-30.0,102,268.668442
-50.0,76,274.910179
-50.0,53,279.67034
-30.0,40,283.400334
-50.0,115,293.074653
-50.0,62,298.699993
-50.0,9,299.363079
-50.0,3,299.691802
-50.0,32,302.292781
-50.0,26,304.175775
-30.0,193,320.006951
-50.0,26,322.272089
-30.0,22,323.845984
-50.0,34,326.67261
-30.0,20,328.281268
-30.0,184,343.605425
-30.0,123,353.799423
-30.0,33,356.303449
-50.0,7,356.86099
-10.0,166,370.84913
-30.0,71,377.195015
-50.0,8,377.910926
-50.0,36,381.065507
-30.0,41,384.475174
-30.0,45,388.137673
-30.0,27,390.335225
-30.0,25,392.521808
-30.0,40,395.927695
-10.0,63,401.700363
-50.0,9,402.36181
-30.0,37,405.762311
-50.0,19,407.097186
-50.0,5,407.701729
-50.0,3,407.784548
-30.0,21,409.568045
-30.0,15,410.591669
-50.0,11,411.627977
-30.0,21,413.34414
-10.0,53,417.960813
-50.0,7,418.292524
-30.0,10,419.257231
-30.0,23,421.188546
-10.0,92,429.044536
-30.0,42,432.347657
-30.0,20,433.954596
-10.0,100,442.275353
-10.0,29,444.771614
-30.0,24,446.786828
-30.0,38,450.133081
-50.0,22,451.911937
-30.0,76,458.065655
-30.0,19,459.801992
-30.0,35,462.684444
-50.0,7,463.326154
-30.0,28,465.644426
-50.0,5,466.013758
-50.0,5,466.46018
-30.0,20,468.150369
-50.0,8,468.81343
-30.0,36,473.969253
-30.0,62,479.301679
-30.0,21,481.028911
-30.0,64,486.24918
-10.0,38,489.226781
-30.0,25,491.645801
