encoding,n_value,mean_steps,std_steps,mean_episodes,std_episodes,converged_fraction,count
numerical,1,4471.35,918.4948706987971,155.0,34.21549356651165,1.0,20
numerical,2,4689.6,839.6191041180518,160.5,35.43656303875984,1.0,20
numerical,3,5767.45,1051.147062736704,184.75,36.62905267680288,1.0,20
numerical,4,5515.75,1258.9600817738424,169.25,42.76081734485439,1.0,20
numerical,5,5815.2,1315.7902036419027,174.9,35.591993481680674,1.0,20
numerical,6,6392.55,1339.7695501465914,186.3,41.95128126768001,1.0,20
numerical,7,6702.85,1562.6941887330356,182.2,37.206988590854806,1.0,20
numerical,8,6969.4,993.1543888036744,181.7,30.418908593176056,1.0,20
numerical,9,7414.05,1234.399225331902,186.6,27.78560778532656,1.0,20
numerical,10,8268.25,1723.1289236444265,212.45,43.02728785317523,1.0,20
one_hot,1,4690.2,811.5696273271938,167.25,37.48849823612571,1.0,20
one_hot,2,4882.8,1261.442095381314,168.0,50.48663189399745,1.0,20
one_hot,3,4739.6,961.1834060157303,158.5,34.607080200444535,1.0,20
one_hot,4,4861.75,1073.9307182029947,152.1,31.652646018934973,1.0,20
one_hot,5,4916.55,1125.5984841407703,142.85,31.890868599020628,1.0,20
one_hot,6,4892.4,1046.4044342413692,149.35,39.61726265152604,1.0,20
one_hot,7,5103.35,1208.0270806153312,151.35,37.90682656197957,1.0,20
one_hot,8,5818.85,1104.98978615189,166.15,41.856033017953344,1.0,20
one_hot,9,5389.2,1377.7885759433484,148.15,42.58553158057323,1.0,20
one_hot,10,5777.3,1357.4772226450063,160.5,37.70344811817614,1.0,20
simple,1,4607.45,534.8259974047635,166.7,22.777401080895952,1.0,20
simple,2,5691.35,1217.4858633676204,168.05,40.035577927638315,1.0,20
simple,3,7155.85,1229.2612934197514,184.5,33.03861377237247,1.0,20
simple,4,8476.55,1432.5019188468823,202.1,33.44682346651174,1.0,20
simple,5,10998.25,2532.1231382971882,217.55,36.33521019617198,1.0,20
simple,6,11612.25,2368.2912378970623,211.7,32.17934119897423,1.0,20
simple,7,11476.35,2266.436835100418,207.75,29.264099166043025,1.0,20
simple,8,15648.3,4331.170651221215,248.95,47.35554349809534,1.0,20
simple,9,20011.8,6036.543842299167,275.2,41.04217343172752,1.0,20
simple,10,20176.4,6520.8669086249565,275.85,54.21095369019069,1.0,20
