encoding,iteration,n_value,episodes,steps,seed,converged
numerical,1,1,148,4544,,True
numerical,1,2,164,5364,,True
numerical,1,3,221,5930,,True
numerical,1,4,192,6085,,True
numerical,1,5,128,4016,,True
numerical,1,6,107,3409,,True
numerical,1,7,187,6083,,True
numerical,1,8,172,6991,,True
numerical,1,9,204,8035,,True
numerical,1,10,255,10479,,True
numerical,2,1,128,3498,,True
numerical,2,2,83,2713,,True
numerical,2,3,148,4487,,True
numerical,2,4,164,5089,,True
numerical,2,5,155,5137,,True
numerical,2,6,127,5609,,True
numerical,2,7,215,7196,,True
numerical,2,8,196,7091,,True
numerical,2,9,210,8622,,True
numerical,2,10,234,8273,,True
numerical,3,1,228,6058,,True
numerical,3,2,206,5844,,True
numerical,3,3,157,5448,,True
numerical,3,4,105,3965,,True
numerical,3,5,127,4244,,True
numerical,3,6,177,6655,,True
numerical,3,7,187,6492,,True
numerical,3,8,204,7400,,True
numerical,3,9,194,8357,,True
numerical,3,10,246,9934,,True
numerical,4,1,115,3640,,True
numerical,4,2,122,3800,,True
numerical,4,3,139,4330,,True
numerical,4,4,160,4747,,True
numerical,4,5,218,7238,,True
numerical,4,6,232,8662,,True
numerical,4,7,241,9959,,True
numerical,4,8,197,7313,,True
numerical,4,9,147,6786,,True
numerical,4,10,184,8551,,True
numerical,5,1,152,4277,,True
numerical,5,2,233,5881,,True
numerical,5,3,167,4919,,True
numerical,5,4,151,4604,,True
numerical,5,5,213,6712,,True
numerical,5,6,218,6121,,True
numerical,5,7,195,7348,,True
numerical,5,8,193,7148,,True
numerical,5,9,141,5845,,True
numerical,5,10,229,9185,,True
numerical,6,1,156,4768,,True
numerical,6,2,105,2930,,True
numerical,6,3,125,4709,,True
numerical,6,4,123,4404,,True
numerical,6,5,207,6883,,True
numerical,6,6,188,5595,,True
numerical,6,7,173,5937,,True
numerical,6,8,160,6330,,True
numerical,6,9,153,5428,,True
numerical,6,10,259,8717,,True
numerical,7,1,151,4895,,True
numerical,7,2,142,4201,,True
numerical,7,3,151,5242,,True
numerical,7,4,149,4599,,True
numerical,7,5,195,5608,,True
numerical,7,6,162,5531,,True
numerical,7,7,206,7508,,True
numerical,7,8,108,4709,,True
numerical,7,9,175,7663,,True
numerical,7,10,120,5450,,True
numerical,8,1,230,6897,,True
numerical,8,2,135,4346,,True
numerical,8,3,193,6170,,True
numerical,8,4,208,7185,,True
numerical,8,5,137,4908,,True
numerical,8,6,127,4497,,True
numerical,8,7,191,6116,,True
numerical,8,8,185,7015,,True
numerical,8,9,181,7839,,True
numerical,8,10,203,7769,,True
numerical,9,1,157,4902,,True
numerical,9,2,179,5342,,True
numerical,9,3,198,6333,,True
numerical,9,4,125,4398,,True
numerical,9,5,167,5596,,True
numerical,9,6,145,5274,,True
numerical,9,7,188,7011,,True
numerical,9,8,219,7353,,True
numerical,9,9,209,8341,,True
numerical,9,10,340,13954,,True
numerical,10,1,140,3799,,True
numerical,10,2,176,4835,,True
numerical,10,3,164,5782,,True
numerical,10,4,124,4371,,True
numerical,10,5,122,4731,,True
numerical,10,6,170,5669,,True
numerical,10,7,234,9740,,True
numerical,10,8,181,8188,,True
numerical,10,9,196,7858,,True
numerical,10,10,179,6799,,True
numerical,11,1,171,5062,,True
numerical,11,2,177,4449,,True
numerical,11,3,157,4886,,True
numerical,11,4,214,7347,,True
numerical,11,5,225,7268,,True
numerical,11,6,190,6201,,True
numerical,11,7,160,6092,,True
numerical,11,8,182,6499,,True
numerical,11,9,224,7915,,True
numerical,11,10,172,6656,,True
numerical,12,1,129,3437,,True
numerical,12,2,180,5036,,True
numerical,12,3,221,5722,,True
numerical,12,4,273,7755,,True
numerical,12,5,161,4992,,True
numerical,12,6,268,8271,,True
numerical,12,7,177,6453,,True
numerical,12,8,226,8294,,True
numerical,12,9,174,6496,,True
numerical,12,10,199,7614,,True
numerical,13,1,99,3564,,True
numerical,13,2,134,4365,,True
numerical,13,3,136,4622,,True
numerical,13,4,178,6521,,True
numerical,13,5,158,4666,,True
numerical,13,6,214,7912,,True
numerical,13,7,169,6583,,True
numerical,13,8,200,7045,,True
numerical,13,9,132,4562,,True
numerical,13,10,207,7783,,True
numerical,14,1,163,4903,,True
numerical,14,2,157,4745,,True
numerical,14,3,250,8309,,True
numerical,14,4,226,7484,,True
numerical,14,5,141,3921,,True
numerical,14,6,246,7063,,True
numerical,14,7,250,8842,,True
numerical,14,8,183,7899,,True
numerical,14,9,230,8200,,True
numerical,14,10,197,8362,,True
numerical,15,1,168,4823,,True
numerical,15,2,186,5818,,True
numerical,15,3,224,7517,,True
numerical,15,4,184,5684,,True
numerical,15,5,236,8698,,True
numerical,15,6,186,6468,,True
numerical,15,7,114,5042,,True
numerical,15,8,223,7574,,True
numerical,15,9,184,6936,,True
numerical,15,10,230,7652,,True
numerical,16,1,191,4820,,True
numerical,16,2,174,4842,,True
numerical,16,3,173,5168,,True
numerical,16,4,154,5476,,True
numerical,16,5,219,7414,,True
numerical,16,6,202,6804,,True
numerical,16,7,186,7403,,True
numerical,16,8,182,7940,,True
numerical,16,9,180,7706,,True
numerical,16,10,181,8737,,True
numerical,17,1,119,3107,,True
numerical,17,2,148,4300,,True
numerical,17,3,208,6125,,True
numerical,17,4,223,6780,,True
numerical,17,5,201,7273,,True
numerical,17,6,156,5722,,True
numerical,17,7,176,6445,,True
numerical,17,8,204,7827,,True
numerical,17,9,168,6300,,True
numerical,17,10,195,7264,,True
numerical,18,1,169,4478,,True
numerical,18,2,188,5202,,True
numerical,18,3,243,7513,,True
numerical,18,4,171,5890,,True
numerical,18,5,156,5512,,True
numerical,18,6,243,9034,,True
numerical,18,7,99,2902,,True
numerical,18,8,146,6469,,True
numerical,18,9,200,7597,,True
numerical,18,10,224,8062,,True
numerical,19,1,108,3321,,True
numerical,19,2,196,5219,,True
numerical,19,3,211,6480,,True
numerical,19,4,153,4207,,True
numerical,19,5,180,6641,,True
numerical,19,6,165,6318,,True
numerical,19,7,137,5863,,True
numerical,19,8,146,5639,,True
numerical,19,9,201,7518,,True
numerical,19,10,191,6851,,True
numerical,20,1,178,4634,,True
numerical,20,2,125,4560,,True
numerical,20,3,209,5657,,True
numerical,20,4,108,3724,,True
numerical,20,5,152,4846,,True
numerical,20,6,203,7036,,True
numerical,20,7,159,5042,,True
numerical,20,8,127,4664,,True
numerical,20,9,229,10277,,True
numerical,20,10,204,7273,,True
