encoding,iteration,n_value,episodes,steps,seed,converged
one_hot,1,1,171,4548,,True
one_hot,1,2,133,4128,,True
one_hot,1,3,116,3546,,True
one_hot,1,4,163,5195,,True
one_hot,1,5,109,3957,,True
one_hot,1,6,85,3185,,True
one_hot,1,7,169,4677,,True
one_hot,1,8,146,5572,,True
one_hot,1,9,123,4503,,True
one_hot,1,10,160,5241,,True
one_hot,2,1,145,4205,,True
one_hot,2,2,230,5681,,True
one_hot,2,3,126,3564,,True
one_hot,2,4,102,3705,,True
one_hot,2,5,141,4208,,True
one_hot,2,6,146,4541,,True
one_hot,2,7,93,3301,,True
one_hot,2,8,130,5329,,True
one_hot,2,9,133,5474,,True
one_hot,2,10,151,5602,,True
one_hot,3,1,212,6947,,True
one_hot,3,2,94,3037,,True
one_hot,3,3,144,4504,,True
one_hot,3,4,120,3682,,True
one_hot,3,5,148,4332,,True
one_hot,3,6,108,3744,,True
one_hot,3,7,219,7606,,True
one_hot,3,8,154,6357,,True
one_hot,3,9,171,5978,,True
one_hot,3,10,149,5533,,True
one_hot,4,1,126,4184,,True
one_hot,4,2,163,4705,,True
one_hot,4,3,147,3897,,True
one_hot,4,4,124,3801,,True
one_hot,4,5,113,4125,,True
one_hot,4,6,197,6581,,True
one_hot,4,7,169,4958,,True
one_hot,4,8,271,8307,,True
one_hot,4,9,139,5323,,True
one_hot,4,10,154,4906,,True
one_hot,5,1,187,4660,,True
one_hot,5,2,157,4669,,True
one_hot,5,3,213,5733,,True
one_hot,5,4,142,4555,,True
one_hot,5,5,146,4658,,True
one_hot,5,6,128,4529,,True
one_hot,5,7,99,3659,,True
one_hot,5,8,167,6427,,True
one_hot,5,9,130,4587,,True
one_hot,5,10,166,6404,,True
one_hot,6,1,190,4731,,True
one_hot,6,2,236,6782,,True
one_hot,6,3,138,4631,,True
one_hot,6,4,168,5863,,True
one_hot,6,5,187,7069,,True
one_hot,6,6,183,5297,,True
one_hot,6,7,157,5066,,True
one_hot,6,8,166,5811,,True
one_hot,6,9,164,6021,,True
one_hot,6,10,136,4416,,True
one_hot,7,1,163,4302,,True
one_hot,7,2,143,5049,,True
one_hot,7,3,218,6298,,True
one_hot,7,4,158,4697,,True
one_hot,7,5,161,5963,,True
one_hot,7,6,151,4879,,True
one_hot,7,7,73,2840,,True
one_hot,7,8,236,7363,,True
one_hot,7,9,129,4353,,True
one_hot,7,10,174,6407,,True
one_hot,8,1,177,4710,,True
one_hot,8,2,121,3681,,True
one_hot,8,3,134,4384,,True
one_hot,8,4,153,4670,,True
one_hot,8,5,134,5813,,True
one_hot,8,6,172,5322,,True
one_hot,8,7,110,3424,,True
one_hot,8,8,190,7080,,True
one_hot,8,9,114,3946,,True
one_hot,8,10,196,7810,,True
one_hot,9,1,123,3426,,True
one_hot,9,2,119,4180,,True
one_hot,9,3,165,4924,,True
one_hot,9,4,146,4856,,True
one_hot,9,5,112,3673,,True
one_hot,9,6,185,5439,,True
one_hot,9,7,128,4786,,True
one_hot,9,8,165,5463,,True
one_hot,9,9,130,4482,,True
one_hot,9,10,120,4474,,True
one_hot,10,1,146,4152,,True
one_hot,10,2,122,3938,,True
one_hot,10,3,205,5354,,True
one_hot,10,4,172,4338,,True
one_hot,10,5,206,6264,,True
one_hot,10,6,114,3640,,True
one_hot,10,7,147,5185,,True
one_hot,10,8,99,3873,,True
one_hot,10,9,194,6662,,True
one_hot,10,10,172,5935,,True
one_hot,11,1,158,4872,,True
one_hot,11,2,137,4105,,True
one_hot,11,3,101,3683,,True
one_hot,11,4,147,4479,,True
one_hot,11,5,148,5200,,True
one_hot,11,6,118,3527,,True
one_hot,11,7,137,4593,,True
one_hot,11,8,162,6101,,True
one_hot,11,9,127,5750,,True
one_hot,11,10,180,6945,,True
one_hot,12,1,124,3434,,True
one_hot,12,2,219,7568,,True
one_hot,12,3,180,6489,,True
one_hot,12,4,151,4547,,True
one_hot,12,5,154,4745,,True
one_hot,12,6,92,3728,,True
one_hot,12,7,214,7146,,True
one_hot,12,8,185,6125,,True
one_hot,12,9,194,6366,,True
one_hot,12,10,136,4961,,True
one_hot,13,1,262,6015,,True
one_hot,13,2,152,4651,,True
one_hot,13,3,199,5306,,True
one_hot,13,4,137,4576,,True
one_hot,13,5,102,3406,,True
one_hot,13,6,210,6871,,True
one_hot,13,7,167,5218,,True
one_hot,13,8,216,6021,,True
one_hot,13,9,77,2979,,True
one_hot,13,10,236,9119,,True
one_hot,14,1,233,5132,,True
one_hot,14,2,168,5017,,True
one_hot,14,3,125,3952,,True
one_hot,14,4,205,7047,,True
one_hot,14,5,219,7396,,True
one_hot,14,6,193,5396,,True
one_hot,14,7,125,4592,,True
one_hot,14,8,179,6498,,True
one_hot,14,9,123,4370,,True
one_hot,14,10,153,5098,,True
one_hot,15,1,117,3669,,True
one_hot,15,2,103,2945,,True
one_hot,15,3,163,4402,,True
one_hot,15,4,187,5094,,True
one_hot,15,5,132,4442,,True
one_hot,15,6,125,4664,,True
one_hot,15,7,179,6288,,True
one_hot,15,8,145,4518,,True
one_hot,15,9,114,4194,,True
one_hot,15,10,142,5194,,True
one_hot,16,1,163,4629,,True
one_hot,16,2,191,5127,,True
one_hot,16,3,132,3844,,True
one_hot,16,4,116,3557,,True
one_hot,16,5,119,4009,,True
one_hot,16,6,225,6599,,True
one_hot,16,7,146,5367,,True
one_hot,16,8,92,3587,,True
one_hot,16,9,235,9042,,True
one_hot,16,10,234,6990,,True
one_hot,17,1,134,4559,,True
one_hot,17,2,227,5016,,True
one_hot,17,3,201,6558,,True
one_hot,17,4,142,4907,,True
one_hot,17,5,163,5931,,True
one_hot,17,6,144,5130,,True
one_hot,17,7,157,5486,,True
one_hot,17,8,151,5911,,True
one_hot,17,9,111,4419,,True
one_hot,17,10,145,5802,,True
one_hot,18,1,203,5421,,True
one_hot,18,2,135,3752,,True
one_hot,18,3,189,5544,,True
one_hot,18,4,195,7483,,True
one_hot,18,5,139,5314,,True
one_hot,18,6,159,5746,,True
one_hot,18,7,169,5279,,True
one_hot,18,8,119,4925,,True
one_hot,18,9,125,5344,,True
one_hot,18,10,118,4585,,True
one_hot,19,1,154,4993,,True
one_hot,19,2,259,6479,,True
one_hot,19,3,144,4321,,True
one_hot,19,4,217,6475,,True
one_hot,19,5,99,3598,,True
one_hot,19,6,101,3837,,True
one_hot,19,7,168,6051,,True
one_hot,19,8,193,6291,,True
one_hot,19,9,180,6167,,True
one_hot,19,10,212,7219,,True
one_hot,20,1,157,5215,,True
one_hot,20,2,251,7146,,True
one_hot,20,3,130,3858,,True
one_hot,20,4,97,3708,,True
one_hot,20,5,125,4228,,True
one_hot,20,6,151,5193,,True
one_hot,20,7,201,6545,,True
one_hot,20,8,157,4818,,True
one_hot,20,9,250,7824,,True
one_hot,20,10,76,2905,,True
