encoding,iteration,n_value,episodes,steps,seed,converged
simple,1,1,213,5149,,True
simple,1,2,183,5843,,True
simple,1,3,221,8529,,True
simple,1,4,256,11639,,True
simple,1,5,166,9590,,True
simple,1,6,214,12677,,True
simple,1,7,235,10403,,True
simple,1,8,338,28602,,True
simple,1,9,249,19199,,True
simple,1,10,187,11404,,True
simple,2,1,176,4775,,True
simple,2,2,146,4077,,True
simple,2,3,200,7316,,True
simple,2,4,163,6543,,True
simple,2,5,245,11301,,True
simple,2,6,251,17642,,True
simple,2,7,225,14783,,True
simple,2,8,296,19743,,True
simple,2,9,300,26388,,True
simple,2,10,313,18752,,True
simple,3,1,158,5084,,True
simple,3,2,213,7650,,True
simple,3,3,151,7052,,True
simple,3,4,198,6886,,True
simple,3,5,260,12315,,True
simple,3,6,207,10459,,True
simple,3,7,170,8410,,True
simple,3,8,225,12151,,True
simple,3,9,281,13674,,True
simple,3,10,315,27571,,True
simple,4,1,179,4423,,True
simple,4,2,166,6082,,True
simple,4,3,255,8131,,True
simple,4,4,195,7179,,True
simple,4,5,212,11619,,True
simple,4,6,230,14821,,True
simple,4,7,196,11351,,True
simple,4,8,318,19035,,True
simple,4,9,267,24176,,True
simple,4,10,290,22630,,True
simple,5,1,198,4980,,True
simple,5,2,117,5080,,True
simple,5,3,189,6676,,True
simple,5,4,184,8860,,True
simple,5,5,234,15560,,True
simple,5,6,233,11979,,True
simple,5,7,207,9871,,True
simple,5,8,283,14824,,True
simple,5,9,250,20054,,True
simple,5,10,192,11835,,True
simple,6,1,141,4370,,True
simple,6,2,167,5696,,True
simple,6,3,199,7431,,True
simple,6,4,163,7998,,True
simple,6,5,264,12946,,True
simple,6,6,196,7956,,True
simple,6,7,218,10546,,True
simple,6,8,257,18854,,True
simple,6,9,313,21727,,True
simple,6,10,214,17525,,True
simple,7,1,175,4263,,True
simple,7,2,154,4601,,True
simple,7,3,192,7393,,True
simple,7,4,226,10061,,True
simple,7,5,180,10072,,True
simple,7,6,153,7719,,True
simple,7,7,222,10386,,True
simple,7,8,269,18078,,True
simple,7,9,208,9372,,True
simple,7,10,223,16972,,True
simple,8,1,125,3751,,True
simple,8,2,206,7252,,True
simple,8,3,251,8229,,True
simple,8,4,202,8953,,True
simple,8,5,165,7034,,True
simple,8,6,179,10124,,True
simple,8,7,210,15850,,True
simple,8,8,169,8999,,True
simple,8,9,273,14880,,True
simple,8,10,274,17934,,True
simple,9,1,181,4391,,True
simple,9,2,195,5844,,True
simple,9,3,173,6068,,True
simple,9,4,162,7731,,True
simple,9,5,240,9801,,True
simple,9,6,231,11835,,True
simple,9,7,186,9934,,True
simple,9,8,238,14376,,True
simple,9,9,224,16357,,True
simple,9,10,240,15930,,True
simple,10,1,160,4229,,True
simple,10,2,166,4901,,True
simple,10,3,170,6784,,True
simple,10,4,199,8838,,True
simple,10,5,202,7696,,True
simple,10,6,177,11220,,True
simple,10,7,205,14381,,True
simple,10,8,210,14085,,True
simple,10,9,204,12374,,True
simple,10,10,297,22236,,True
simple,11,1,184,5169,,True
simple,11,2,93,3588,,True
simple,11,3,150,5796,,True
simple,11,4,186,8274,,True
simple,11,5,269,15416,,True
simple,11,6,184,11489,,True
simple,11,7,163,9610,,True
simple,11,8,250,14796,,True
simple,11,9,296,20100,,True
simple,11,10,310,22817,,True
simple,12,1,153,4068,,True
simple,12,2,169,6064,,True
simple,12,3,181,6669,,True
simple,12,4,264,10670,,True
simple,12,5,193,8468,,True
simple,12,6,212,10817,,True
simple,12,7,230,11787,,True
simple,12,8,184,8726,,True
simple,12,9,317,23212,,True
simple,12,10,292,17636,,True
simple,13,1,182,5930,,True
simple,13,2,220,7477,,True
simple,13,3,183,10485,,True
simple,13,4,161,6295,,True
simple,13,5,198,7158,,True
simple,13,6,220,13008,,True
simple,13,7,198,14368,,True
simple,13,8,166,10982,,True
simple,13,9,263,18339,,True
simple,13,10,256,19231,,True
simple,14,1,168,4935,,True
simple,14,2,191,6919,,True
simple,14,3,165,6631,,True
simple,14,4,191,8199,,True
simple,14,5,196,10593,,True
simple,14,6,151,10507,,True
simple,14,7,158,8282,,True
simple,14,8,279,15859,,True
simple,14,9,248,20239,,True
simple,14,10,247,16558,,True
simple,15,1,149,4765,,True
simple,15,2,104,3683,,True
simple,15,3,178,6782,,True
simple,15,4,189,8587,,True
simple,15,5,271,12995,,True
simple,15,6,233,11408,,True
simple,15,7,177,9940,,True
simple,15,8,200,12758,,True
simple,15,9,333,18560,,True
simple,15,10,256,19633,,True
simple,16,1,167,4539,,True
simple,16,2,171,5738,,True
simple,16,3,224,7138,,True
simple,16,4,213,7043,,True
simple,16,5,228,10872,,True
simple,16,6,191,9380,,True
simple,16,7,205,11645,,True
simple,16,8,225,18830,,True
simple,16,9,332,24746,,True
simple,16,10,267,16754,,True
simple,17,1,156,4433,,True
simple,17,2,261,7562,,True
simple,17,3,135,5779,,True
simple,17,4,286,10775,,True
simple,17,5,210,11491,,True
simple,17,6,270,14214,,True
simple,17,7,255,12051,,True
simple,17,8,270,15714,,True
simple,17,9,258,18349,,True
simple,17,10,231,13115,,True
simple,18,1,114,3457,,True
simple,18,2,165,6079,,True
simple,18,3,151,5687,,True
simple,18,4,221,8299,,True
simple,18,5,152,7806,,True
simple,18,6,224,13150,,True
simple,18,7,182,8451,,True
simple,18,8,257,14632,,True
simple,18,9,290,21361,,True
simple,18,10,372,26270,,True
simple,19,1,183,4841,,True
simple,19,2,157,4902,,True
simple,19,3,136,5420,,True
simple,19,4,189,7305,,True
simple,19,5,202,12735,,True
simple,19,6,267,13474,,True
simple,19,7,251,12644,,True
simple,19,8,233,13552,,True
simple,19,9,241,17904,,True
simple,19,10,364,40179,,True
simple,20,1,172,4597,,True
simple,20,2,117,4789,,True
simple,20,3,186,9121,,True
simple,20,4,194,9396,,True
simple,20,5,264,14497,,True
simple,20,6,211,8366,,True
simple,20,7,262,14834,,True
simple,20,8,312,18370,,True
simple,20,9,357,39225,,True
simple,20,10,377,28546,,True
